product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
3582910000000.00,Amaryl,Glimepiride,AMARYL TABS 4MG X 30,Pharmacy,TABLETS,BLISTER,Oral antidiabetic drugs,5535,WWCVL (SANOFI),30,15
6010500.00,AMCARD,,AMCARD TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,570,,30,10
6010501.00,AMCARD,,AMCARD TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,470,,30,10
11610.00,AMIDREX,Risperidone,AMIDREX  2MG TAB X 30,Pharmacy,TABLETS,BLISTER,Drugs used in Psychotic Disorders,1700,,30,10
8906000000000.00,AMINODYN PLUS,,AMINODYN PLUS CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Multivitamin and amino acid preparations,200,AWARD GLOBAL COMPANY LTD.,30,15
6013040.00,aminogard,,AMINOGARD TABS  X 100,Pharmacy,TABLETS,BLISTER,Multivitamin and amino acid preparations,2225,,100,10
6631.00,AMINOPHILIN,Aminophylline,AMINOPHILIN INJ 250MG X 100,Pharmacy,INJECTION (SOLUTION),AMPOULES,BRONCHODILATORS,4000,,100,1
6013314.00,AMIODARONE,,AMIODARONE (EXCEL)  INJ  X 5,Pharmacy,INJECTION (SOLUTION),AMPOULES,,7600,,5,1
5017010000000.00,AMIODARONE,Amiodarone,AMIODARONE (MULTICOY)  TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,Antiarrhythmic drugs,2250,,28,14
5017010000000.00,AMIODARONE,Amiodarone,AMIODARONE TABS 200MG X 28,Pharmacy,TABLETS,BLISTER,Antiarrhythmic drugs,2750,,28,14
15114.00,AMITRIPTYLINE,Amitriptyline,AMITRIPTYLINE (MULTICOY)  TABS 25MG X 100,Pharmacy,TABLETS,BLISTER,DRUGS USED IN DEPRESSIVE DISORDERS,535,,100,10
8512.00,AMITRIPTYLINE,Amitriptyline,AMITRIPTYLINE TABS 25MG X 500 [INDIA],Pharmacy,TABLETS,PCS,DRUGS USED IN DEPRESSIVE DISORDERS,2700,,500,1
6013194.00,AMITRYPTILLINE,,AMITRYPTILLINE (TEVA)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,900,,28,14
1008934.00,AMITRYPTILLINE,Amitriptyline,AMITRYPTILLINE (TEVA)  TABS 25MG X 28,Pharmacy,TABLETS,SACHET,DRUGS USED IN DEPRESSIVE DISORDERS,800,,28,14
6010123.00,AMITRYPTILLINE,Amitriptyline,AMITRYPTILLINE (TEVA)  TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,DRUGS USED IN DEPRESSIVE DISORDERS,1600,,28,14
,AMLODIPINE (DE-SHARP),,AMLODIPINE (DE-SHARP) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,280,DE SHARP PHARAMACEUTICALS LTD,28,14
,AMLODIPINE,,AMLODIPINE (EVERDESTINY)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,295,,28,14
6012252.00,amlodipine,Amlodipine,AMLODIPINE (NEW TEVA)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,500,,28,14
6012251.00,amlodipine,Amlodipine,AMLODIPINE (NEW TEVA)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,400,,28,14
6008961.00,AMLODIPINE,Amlodipine,AMLODIPINE (PHARMAMAX)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,450,,28,14
6012169.00,amlodipine,Amlodipine,AMLODIPINE (POCCO)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,485,,28,14
6012170.00,AMLODIPINE,Amlodipine,AMLODIPINE (POCCO)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,365,,28,14
1008932.00,AMLODIPINE,Amlodipine,AMLODIPINE (TEVA)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,450,,28,14
5017010000000.00,AMLODIPINE,Amlodipine,AMLODIPINE (TEVA)  TABS 5MG X 28,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,400,,28,14
,AMLODIPINE(CHEZ),,AMLODIPINE(CHEZ) TABS 10MG X 28,Pharmacy,TABLETS,PACK,,290,CHEZ RESOURCES PHARM. LTD,28,14
,AMLODIPINE(COVASC),,AMLODIPINE(COVASC) TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,800,,30,10
,AMLODIPINE(COVASC),,AMLODIPINE(COVASC) TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,750,,30,10
,AMLODIPINE(DE-SHARP),,AMLODIPINE(DE-SHARP) TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,270,EZE-BEN GLOBAL RESOURCES NIG.LTD,28,14
,AMLODIPINE(EVERDESTINY),,AMLODIPINE(EVERDESTINY) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,290,OANG LIMITED,28,14
,AMLODIPINE(LALID),,AMLODIPINE(LALID) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,320,OANG LIMITED,28,14
,AMLODIPINE(lifeback),,AMLODIPINE(LIFEBACK) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,420,TOM HABEEB NIG.ENTERPRISES,28,14
6013307.00,AMLODIPINE(NCI),,AMLODIPINE(NCI) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,250,,28,14
6013308.00,AMLODIPINE(NCI),,AMLODIPINE(NCI) TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,210,,28,14
18906000000000.00,AMLODIPNE,Amlodipine,AMLODIPNE TABS 10MG X 28 {PHARMA MAX},Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,480,,28,14
1002433.00,AMLONG,Amlodipine,AMLONG TABS 10MG X 30,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,450,,30,10
1002432.00,AMLONG,Amlodipine,AMLONG TABS 5MG X 30,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,485,,30,10
1008861.00,AMLOSTAR,Amlodipine,AMLOSTAR TABS 10MG X 100,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,1115,STRIDES VITAL NIG LTD,100,10
1008775.00,AMLOSTAR,Amlodipine,AMLOSTAR TABS 5MG X 100,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,1040,,100,10
1001886.00,AMLOVAR,Amlodipine,AMLOVAR TABS 10MG X 100,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,3800,,100,10
1001960.00,AMLOVAR,Amlodipine,AMLOVAR TABS 5MG X 100,Pharmacy,TABLETS,SACHET,Calcium-channel blockers,1975,,100,10
6013041.00,amlozaar,,AMLOZAAR TABS  X 30,Pharmacy,TABLETS,BLISTER,,2600,,30,10
3838960000000.00,AMOKSIKLAV,Amoxicillin and Clavulanate,AMOKSIKLAV TABS 1G X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1570,,14,7
1007625.00,AMOKSIKLAV,Amoxicillin and Clavulanate,AMOKSIKLAV TABS 375MG X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1175,,14,7
