product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
1001585,KUF RELIEF,,KUF RELIEF TABS  X 100,Pharmacy,TABLETS,SACHET,,1300,,100,4
1000902,LABDIC RELIEF,,LABDIC RELIEF TABS  X 200,Pharmacy,TABLETS,SACHET,,3675,,200,4
1003371,labet,Labetalol,LABET TABS 200MG X 30,Pharmacy,TABLETS,BLISTER,,4500,,30,10
6009225,labetalol,,LABETALOL (PRESDATE)  TABS 200MG X 30,Pharmacy,TABLETS,BLISTER,,3800,,30,10
6011935,LABOCOF EXTRA,,LABOCOF EXTRA TABS  X 100,Pharmacy,TABLETS,BLISTER,,710,,100,4
1002640,LABOCOF,,LABOCOF TABS  X 100,Pharmacy,TABLETS,SACHET,,745,,100,4
6010731,laclox,,LACLOX TABS  X 20,Pharmacy,TABLETS,BLISTER,,345,,20,10
6009292,laclox,,LACLOX TABS 500MG X 100,Pharmacy,TABLETS,BLISTER,,1950,,100,10
6041182,LAMOTRGINE(MILPHARM),,LAMOTRGINE(MILPHARM) TABS 50MG X 56,Pharmacy,TABLETS,BLISTER,,4200,,56,7
6012728,LAMOTRIGINE,,LAMOTRIGINE TABS 100MG X 56 {MILPHARM},Pharmacy,TABLETS,BLISTER,,5000,,56,7
6011341,LAMOTRIGINE(TEVA),,LAMOTRIGINE(TEVA) TABS 100MG X 56,Pharmacy,TABLETS,BLISTER,,5000,,56,14
6011026,LAMOTRIGINE(TEVA),,LAMOTRIGINE(TEVA) TABS 50MG X 56,Pharmacy,TABLETS,BLISTER,,4100,,56,14
1002392,LAMOX,,LAMOX  500MG  CAP X 100,Pharmacy,CAPSULES,BLISTER,,1375,,100,10
1002247,LAMOX,,LAMOX  500MG CAP  X 20,Pharmacy,CAPSULES,BLISTER,,665,,20,10
6009255,lantus solostar,,LANTUS SOLOSTAR INJ 300IU X 5,Pharmacy,INJECTION (POWDER),AMPOULES,,20078,,5,1
1000973,LAPAIN,,LAPAIN CAPS  X 100,Pharmacy,CAPSULES,BLISTER,,700,,100,10
1002264,LARETIC,,LARETIC  100/25MG TABS X 30,Pharmacy,TABLETS,BLISTER,,700,,30,10
1001389,LARIDOX,,LARIDOX TABS  X 150,Pharmacy,TABLETS,SACHET,LOW-CEILING DIURETICS,8290,DIVINE CHENIC NIG LTD,150,3
6023975,laxgo med,,LAXGO MED POWDER 40G X 20,Pharmacy,POWDER,BLISTER,,3000,,20,1
1001890,LAXIS,,LAXIS TABS 40MG X 250 {APHANTIX},Pharmacy,TABLETS,FOIL STRIP,,1100,,250,10
6012678,LDNIL,Rosuvastatin,LDNIL TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,3600,,30,10
6012944,LDNIL,,LDNIL TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,5200,,30,10
6012679,LDNIL,Rosuvastatin,LDNIL TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,2310,,30,10
6012585,LEBAL,,LEBAL TABS 500MG X 14,Pharmacy,TABLETS,SACHET,,420,,14,7
6013614,LEKAM,,LEKAM TABS 1.5MG X 30,Pharmacy,TABLETS,BLISTER,,580,TAYLEK DRUGS COMPANY LTD,30,10
1003427,LEPONEX,Clozapine,LEPONEX TABS 100MG X 100,Pharmacy,TABLETS,BLISTER,,11000,WWCVL (NOVARTIS),100,10
1007747,leramide,,LERAMIDE CAPS  X 100,Pharmacy,CAPSULES,BLISTER,,1320,,100,10
6012165,LETROZOLE,,LETROZOLE (MULTICOY)  TABS 2.5MG X 28,Pharmacy,TABLETS,BLISTER,,2300,,28,14
6011160,LEVEMIR FLEXPEN,,LEVEMIR FLEXPEN INJ 3ML X 5,Pharmacy,INJECTION (POWDER),VIALS,,15500,WWCVL (NOVO),5,1
6012673,LEVOTHYROXINE,,LEVOTHYROXINE (MULTICHRIS)  TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,,1150,,28,14
6012672,LEVOTHYROXINE,,LEVOTHYROXINE (MULTICHRIS)  TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,680,,28,14
1001233,LEVOTHYROXINE,Levothyroxine,LEVOTHYROXINE TABS 50MCG X 28 [ENGLAND],Pharmacy,TABLETS,BLISTER,,1100,,28,14
6009069,LEXOTAN,,LEXOTAN TABS 1.5MG X 100,Pharmacy,TABLETS,PCS,,4590,,100,1
1009094,LEXOTAN,,LEXOTAN TABS 1.5MG X 30,Pharmacy,TABLETS,BLISTER,,515,,30,10
1009095,LEXOTAN,,LEXOTAN TABS 3MG X 100,Pharmacy,TABLETS,PCS,,2750,,100,1
1002844,LIFACE 5MG,Ramipril,LIFACE 5MG TABS  X 30,Pharmacy,TABLETS,BLISTER,,600,,30,10
1002840,LIFACE,Ramipril,LIFACE TABS 2.5MG X 30,Pharmacy,TABLETS,BLISTER,,480,,30,10
1003238,lifeprone,Cyproheptadine,LIFEPRONE TABS  X 30,Pharmacy,TABLETS,BLISTER,,430,,30,10
6011931,LIFLOXIN,,LIFLOXIN TABS  X 150,Pharmacy,TABLETS,BLISTER,,3010,,150,3
6010559,LIGABA,,LIGABA TABS 75MG X 30,Pharmacy,TABLETS,BLISTER,,3200,,30,10
6012885,LINAJEN,,LINAJEN TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,5550,,30,10
1007983,LINEX,,LINEX CAPS  X 16,Pharmacy,CAPSULES,BLISTER,,850,,16,8
6030046,LIPIDUCE(HOVID),Atorvastatin,LIPIDUCE(HOVID) TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,2250,PHAMATEX NIG. LTD.,30,10
6030047,lipiduce(hovid),,LIPIDUCE(HOVID) TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,2940,PHAMATEX NIG. LTD.,30,3
6013339,LIPIROS,,LIPIROS TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,1500,,30,10
6071860,lipistatin,,LIPISTATIN TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,550,,28,14
6071861,lipistatin,,LIPISTATIN TABS 20MG X 28,Pharmacy,TABLETS,BLISTER,,740,,28,14
1000870,lipitor,Atorvastatin,LIPITOR TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,6687.33,WWCVL (PFIZER),30,10
1000986,lipitor,Atorvastatin,LIPITOR TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,6687.33,WWCVL (PFIZER),30,10
6009131,lipitor,,LIPITOR TABS 40MG X 30,Pharmacy,TABLETS,BLISTER,,6500,,30,10
1002832,LIPIVASTIN,,LIPIVASTIN TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,1600,,30,10
1002826,LIPIVASTIN,Atorvastatin,LIPIVASTIN TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,1965,,30,10
6008698,lipofix,,LIPOFIX TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,700,,30,10
6008699,lipofix,,LIPOFIX TABS 20MG X 30,Pharmacy,TABLETS,BLISTER,,950,,30,10
6012759,LIRAPYN,,LIRAPYN TABS 75MG X 28,Pharmacy,TABLETS,BLISTER,,1650,,28,7
6012602,lisinopril,,LISINOPRIL (BRISTOL)  TABS 2.5MG X 28,Pharmacy,TABLETS,BLISTER,,500,,28,14
6009162,lisinopril,,LISINOPRIL (PHARMAMAX)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,770,,28,14
1008022,lisinopril,,LISINOPRIL (PHARMAMAX)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,460,,28,14
1002100,LISINOPRIL (TEVA),Lisinopril,LISINOPRIL (TEVA) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,1400,,28,14
1003213,LISINOPRIL (TEVA),Lisinopril,LISINOPRIL (TEVA) TABS 20MG X 28,Pharmacy,TABLETS,BLISTER,,1450,,28,14
1002020,LISINOPRIL (TEVA),Lisinopril,LISINOPRIL (TEVA) TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,800,,28,14
6054572,LISINOPRIL(EXXON PHARMA NIG LTD),,LISINOPRIL(EXXON PHARMA NIG LTD) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,310,EZE-BEN GLOBAL RESOURCES NIG.LTD,28,14
6071870,Lisinopril(Greatlight),Lisinopril,LISINOPRIL(GREATLIGHT) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin-converting enzyme (ACE) inhibitors,400,,28,14
6030044,lisinopril(lifeback),,LISINOPRIL(LIFEBACK) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,500,TOM HABEEB NIG.ENTERPRISES,28,14
6012248,lisinopril(newteva),,LISINOPRIL(NEWTEVA) TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,570,,28,14
6011671,lisinopril(PHARMAMAX),,LISINOPRIL(PHARMAMAX) TABS 5MG X 140,Pharmacy,TABLETS,BLISTER,,1380,,140,14
6012172,lisinopril(poco),,LISINOPRIL(POCO) TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,570,,28,14
6012183,lisinoprl(pocco),,LISINOPRL(POCCO) TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,380,,28,14
1001812,`,,LISIOFIL TABS 2.5MG X 28,Pharmacy,TABLETS,BLISTER,,260,,28,14
1001923,LISOFIL,,LISOFIL (UNIQUE)  TABS 10MG X 28,Pharmacy,TABLETS,BLISTER,,420,,28,14
1001813,LISOFIL,,LISOFIL (UNIQUE)  TABS 5MG X 28,Pharmacy,TABLETS,BLISTER,,330,UNIQUE PHARMACEUTICALS LIMITED,28,14
6048394,LIVER DEFENSE (ORGANIC HEALTH),,LIVER DEFENSE (ORGANIC HEALTH) CAPLET  X 30,Pharmacy,CAPLET,BLISTER,,2850,,30,10
6012623,LIZOPHAGE,Metformin,LIZOPHAGE TABS 500MG X 50,Pharmacy,TABLETS,BLISTER,,300,,50,10
1002679,LOFRAL,Amlodipine,LOFRAL TABS 5MG X 30,Pharmacy,TABLETS,PACK,,800,,30,3
6012775,#,,LOKMAL TABS 20MG/120MG X 24,Pharmacy,TABLETS,BLISTER,,430,,24,6
1003367,LOMOTIL,,LOMOTIL TABS  X 100,Pharmacy,TABLETS,BLISTER,,360,,100,10
1002683,LOPERAMIDE,,LOPERAMIDE (RICHYGOLD)  CAPS  X 100,Pharmacy,CAPSULES,PACK,,650,,100,10
6011178,LOPERAMIDE(genneith),,LOPERAMIDE(GENNEITH) CAPS  X 100,Pharmacy,CAPSULES,PACK,,500,,100,10
1007899,LOPESHAL,,LOPESHAL TABS  X 150,Pharmacy,TABLETS,BLISTER,,225,SHALINA HEALTHCARE NIGERIA LTD,150,6
6050453,LORATADINE(EVERYDESTINY),Loratadine,LORATADINE(EVERYDESTINY) TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,,850,OANG LIMITED,100,10
6008641,loratidine,,LORATIDINE TABS 10MG X 100,Pharmacy,TABLETS,SACHET,,750,,100,10
6011948,LORATIDINE(AFRAB),,LORATIDINE(AFRAB) TABS  X 100,Pharmacy,TABLETS,BLISTER,,705,,100,10
6013454,loratidine(sivo),,LORATIDINE(SIVO) TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,,850,,100,10
1000161,LORATYN (HOVID),Loratadine,LORATYN (HOVID) TABS 10MG X 100,Pharmacy,TABLETS,BLISTER,,3340,,100,10
1007993,LOSARETIC,,LOSARETIC TABS  X 30,Pharmacy,TABLETS,BLISTER,,1605,,30,10
1003582,LOSARGEN,,LOSARGEN TABS 50MG X 100,Pharmacy,TABLETS,BLISTER,,1365,,100,10
6012992,LOSARK POT & AM,,LOSARK POT & AM TABS  X 30,Pharmacy,TABLETS,BLISTER,,1100,,30,10
6010719,LOSARK,,LOSARK TABS 50MG X 30,Pharmacy,TABLETS,BLISTER,,850,,30,10
1001179,LOSARTAN,Losartan,LOSARTAN  50MG TAB  X 28,Pharmacy,TABLETS,BLISTER,,620,,28,14
6013106,LOSARTAN,,LOSARTAN (LIFEBACK)  TABS 50MG X 30,Pharmacy,TABLETS,BLISTER,,1085,,30,10
6013578,LOSARTAN (LIFEBACK),,LOSARTAN (LIFEBACK) TABS 25MG X 30,Pharmacy,TABLETS,BLISTER,,1050,,30,10
6012668,LOSARTAN,,LOSARTAN (MULTICHRIS)  TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,,1100,,28,14
6012669,LOSARTAN,,LOSARTAN (MULTICHRIS)  TABS 25MG X 28,Pharmacy,TABLETS,BLISTER,,600,,28,14
6012666,LOSARTAN,,LOSARTAN (MULTICHRIS)  TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,700,,28,14
6011106,LOSARTAN,,LOSARTAN (TEVA)  TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,,1900,,28,14
6012247,losartan(newteva),,LOSARTAN(NEWTEVA) TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,700,,28,14
6012177,LOSARTAN(POCCO),,LOSARTAN(POCCO) TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,600,,28,14
6048335,LOSARTAN(SAM JONES),,LOSARTAN(SAM JONES) TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,600,DE-ZUBIK PHARMACEUTICA LTD,28,14
6010803,LOSARTAN(TEVA),,LOSARTAN(TEVA) TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,1400,,28,14
